lemma,part_of_speech,antonyms
abbreviated,verb,expand
able,adjective,unable
above,adverb,below
absent,adjective,present
absolute,adjective,relative
ahead,adverb,backward
avoidable,adjective,inevitable
awake,adjective,asleep
back,adjective,front
beautiful,adjective,ugly
big,adjective,small
bright,adjective,dull
broad,adjective,narrow
busy,adjective,idle
capitalist,adjective,socialistic
carnivorous,adjective,herbivorous
central,adjective,peripheral
chronic,adjective,acute
circular,adjective,square
close,adjective,distant
closed,adjective,open
cloudy,adjective,clear
coarse,adjective,fine
coastal,adjective,inland
concrete,adjective,abstract
convex,adjective,concave
curly,adjective,straight
dead,noun,living
decrease,verb,increase
delayed,verb,rush
delicate,adjective,rugged
detested,verb,love
domestic,adjective,foreign
dominant,adjective,recessive
dried,verb,wet
early,adverb,late
east,adjective,west
elderly,noun,young
empty,adjective,full
energetic,adjective,lethargic
evil,adjective,good
extrovert,noun,introvert
fancy,adjective,plain
far,adjective,near
female,noun,male
foolish,adjective,wise
high,adjective,low
idle,adjective,busy
ignited,verb,extinguish
irritating,verb,soothe
isometric,adjective,isotonic
joint,adjective,separate
joyful,adjective,sorrowful
known,adjective,unknown
lacking,verb,have
laugh,verb,cry
least,adverb,most
loud,adverb,softly
made,verb,break
moving,verb,stay
naive,adjective,sophisticated
near,adjective,far
no,noun,yes
numerical,adjective,verbal
objective,adjective,subjective
outside,adjective,inside
poor,adjective,rich
poorly,adverb,well
pro,adverb,con
recorded,verb,erase
related,verb,dissociate
rocky,adjective,smooth
rude,adjective,civil
same,adjective,different
saved,adjective,lost
scarce,adjective,abundant
secure,verb,unfasten
separate,verb,unite
singular,adjective,plural
simplify,verb,complicate
small,adjective,large
small,adverb,big
thin,adjective,thick
top,noun,bottom
unholy,adjective,holy
unlaced,verb,tie
unwanted,adjective,desirable
up,adjective,down
upbeat,noun,ill-being
upland,noun,lowland
uplifted,verb,depress
upstairs,adverb,downstairs
vanished,verb,appear
vocal,adjective,instrumental
warm,adjective,cool
weep,verb,laugh
wet,verb,dry
white,adjective,black
worried,verb,reassure
xenogeneic,adjective,allogeneic
xeric,adjective,hydric
year-round,adjective,seasonal
young,noun,aged
young,adjective,old